Region,Country,State,City
North America,US,Iowa,Des Moines
North America,US,Illinois,Peoria
Africa,Algeria,,Algiers
Africa,South Africa,,Capetown
North America,US,Alabama,Mobile
Africa,Kenya,,Nairobi
Africa,Guinea,,Conakry
Africa,Burundi,,Bujumbura
Asia,Japan,,Osaka
Europe,Portugal,,Lisbon
Africa,Gambia,,Banjul
North America,US,Arizona,Tucson
Africa,Egypt,,Cairo
South/Central America & Carribean,Equador,,Guayaquil
Africa,Benin,,Cotonou
North America,US,Oregon,Salem
South/Central America & Carribean,Guatemala,,Guatemala City
Africa,Ethiopia,,Addis Ababa
Africa,Central African Republic,,Bangui
Africa,Congo,,Brazzaville
Asia,China,,Shenyang
North America,US,New York,Albany
Africa,Gabon,,Libreville
North America,Mexico,,Mexico City
Asia,India,,Chennai (Madras)
Asia,Hong Kong,,Hong Kong
Asia,Bangladesh,,Dhaka
Africa,Guinea-Bissau,,Bissau
North America,US,South Dakota,Sioux Falls
Africa,Senegal,,Dakar
Africa,Tanzania,,Dar Es Salaam
North America,US,Pennsylvania,Philadelphia
North America,US,Maryland,Baltimore
Africa,Ivory Coast,,Abidjan
Africa,Morocco,,Rabat
Africa,Madagascar,,Antananarivo
Africa,Mauritania,,Nouakchott
Middle East,Oman,,Muscat
Asia,Singapore,,Singapore
South/Central America & Carribean,Honduras,,Tegucigalpa
Africa,Malawi,,Lilongwe
North America,US,New Hampshire,Concord
Europe,Belgium,,Brussels
Asia,Malaysia,,Kuala Lumpur
Africa,Mozambique,,Maputo
Africa,Namibia,,Windhoek
Asia,Uzbekistan,,Tashkent
Asia,Taiwan,,Taipei
Africa,Nigeria,,Niamey
Africa,Tunisia,,Tunis
Africa,Nigeria,,Lagos
Asia,Turkmenistan,,Ashabad
Africa,Sierra Leone,,Freetown
North America,US,Texas,Midland Odessa
Europe,Iceland,,Reykjavik
Africa,Togo,,Lome
Asia,North Korea,,Pyongyang
Africa,Uganda,,Kampala
Africa,Zambia,,Lusaka
North America,US,South Dakota,Rapid City
Asia,China,,Beijing
Asia,China,,Chengdu
Asia,Pakistan,,Islamabad
Asia,India,,Delhi
Asia,China,,Guangzhou
North America,US,North Carolina,Raleigh Durham
Asia,China,,Shanghai
Asia,India,,Bombay (Mumbai)
Asia,Kazakhstan,,Almaty
Asia,Japan,,Tokyo
Asia,India,,Calcutta
Asia,Japan,,Sapporo
North America,Canada,,Vancouver
Asia,Sri Lanka,,Colombo
Asia,Indonesia,,Jakarta
North America,US,North Dakota,Fargo
Asia,Kyrgyzstan,,Bishkek
Europe,Ukraine,,Kiev
Asia,Laos,,Vientiane
North America,US,Kentucky,Lexington
Asia,Mongolia,,Ulan-bator
Asia,South Korea,,Seoul
Asia,Myanmar (Burma),,Rangoon
Asia,Vietnam,,Hanoi
North America,US,Nebraska,Lincoln
Asia,Nepal,,Katmandu
Asia,Pakistan,,Karachi
Asia,Philippines,,Manila
Asia,Tajikistan,,Dusanbe
North America,US,Oklahoma,Tulsa
Asia,Thailand,,Bangkok
